departure,destination,time,count,fare
武蔵小杉駅,羽沢横浜国大駅,17,0,318
佐倉駅,成田駅,13,0,242
横浜駅,武蔵小杉駅,13,0,230
塔ノ沢駅,大平台駅,13,0,160
戸塚駅,横浜駅,11,0,230
三鷹駅,国分寺駅,11,0,178
京成曳舟駅,八広駅,11,0,136
正丸駅,芦ヶ久保駅,10,0,188
国分寺駅,三鷹駅,10,0,178
大平台駅,宮ノ下駅,10,0,160
成田駅,空港第２ビル（第２旅客ターミナル）駅,9,0,199
千葉駅,四街道駅,9,0,199
日暮里駅,青砥駅,9,0,189
東京駅,四ツ谷駅,9,0,178
赤羽駅,池袋駅,9,0,167
京急久里浜駅,ＹＲＰ野比駅,9,0,150
厚木駅,海老名駅,9,0,147
京成船橋駅,大神宮下駅,9,0,136
京成高砂駅,東松戸駅,8,0,379
品川駅,川崎駅,8,0,230
新川崎駅,横浜駅,8,0,230
赤羽駅,浦和駅,8,0,230
浦和駅,赤羽駅,8,0,230
四街道駅,佐倉駅,8,0,199
甲斐大泉駅,清里駅,8,0,190
内船駅,甲斐大島駅,8,0,190
国分寺駅,立川駅,8,0,178
品川駅,東京駅,8,0,178
立川駅,国分寺駅,8,0,178
東飯能駅,高麗駅,8,0,157
地下鉄成増駅,地下鉄赤塚駅,8,0,157
小田急多摩センター駅,唐木田駅,8,0,136
川崎駅,横浜駅,7,0,230
七里ヶ浜駅,稲村ヶ崎駅,7,0,200
上総松丘駅,上総亀山駅,7,0,190
甲斐小泉駅,甲斐大泉駅,7,0,190
津田沼駅,稲毛駅,7,0,178
大宮駅,浦和駅,7,0,178
京急鶴見駅,花月総持寺駅,7,0,150
飯田橋駅,九段下駅,7,0,0
千葉ニュータウン中央駅,印旛日本医大駅,6,0,379
東松戸駅,新鎌ヶ谷駅,6,0,330
西大原駅,上総東駅,6,0,260
芝浦ふ頭駅,お台場海浜公園駅,6,0,251
初狩駅,笹子駅,6,0,199
岩井駅,富浦駅,6,0,199
滑河駅,下総神崎駅,6,0,199
渋沢駅,新松田駅,6,0,199
東清川駅,横田駅,6,0,190
指扇駅,南古谷駅,6,0,189
早川駅,根府川駅,6,0,189
八街駅,日向駅,6,0,189
館山駅,九重駅,6,0,189
九重駅,千倉駅,6,0,189
江見駅,太海駅,6,0,189
久住駅,滑河駅,6,0,189
本銚子駅,笠上黒生駅,6,0,180
市川駅,船橋駅,6,0,178
巣鴨新田駅,大塚駅前駅,6,0,168
上野駅,尾久駅,6,0,167
池袋駅,新宿駅,6,0,167
衣笠駅,久里浜駅,6,0,167
俵田駅,久留里駅,6,0,150
新宿駅,笹塚駅,6,0,140
国吉駅,上総中川駅,5,0,260
波久礼駅,樋口駅,5,0,240
三つ峠駅,寿駅,5,0,224
湘南海岸公園駅,江ノ島駅,5,0,200
笹子駅,甲斐大和駅,5,0,199
日野春駅,長坂駅,5,0,199
東横田駅,馬来田駅,5,0,190
久留里駅,平山駅,5,0,190
十島駅,井出駅,5,0,190
甲斐大島駅,身延駅,5,0,190
塩之沢駅,波高島駅,5,0,190
落居駅,鰍沢口駅,5,0,190
甲斐上野駅,東花輪駅,5,0,190
山北駅,谷峨駅,5,0,190
総元駅,西畑駅,5,0,190
大船駅,藤沢駅,5,0,189
松岸駅,銚子駅,5,0,189
東飯能駅,高麗川駅,5,0,189
根府川駅,真鶴駅,5,0,189
甲斐大和駅,勝沼ぶどう郷駅,5,0,189
穴山駅,日野春駅,5,0,189
箱根ヶ崎駅,金子駅,5,0,189
竹沢駅,折原駅,5,0,189
松久駅,児玉駅,5,0,189
児玉駅,丹荘駅,5,0,189
岡部駅,本庄駅,5,0,189
誉田駅,土気駅,5,0,189
浪花駅,御宿駅,5,0,189
御宿駅,勝浦駅,5,0,189
行川アイランド駅,安房小湊駅,5,0,189
青堀駅,大貫駅,5,0,189
佐貫町駅,上総湊駅,5,0,189
上総湊駅,竹岡駅,5,0,189
南三原駅,和田浦駅,5,0,189
