converted_station_cd1,converted_station_cd2
1130101,1130102
1130102,1130103
1130103,1130104
1130104,1130105
1130105,1130106
1130106,1130107
1130107,1130108
1130201,1130202
1130202,1130203
1130203,1130204
1130204,1130205
1130207,1130208
1130214,1130215
1130215,1130216
1130216,1130217
1130217,1130218
1130218,1130219
1130219,1130220
1130220,1130221
1130221,1130222
1130222,1130223
1130223,1130101
1130101,1130225
1130225,1130102
1130102,1130227
1130227,1130228
1130228,1130230
1130103,1130201
1130230,1130103
1130320,1130321
1130510,1130511
1130518,1130519
1130603,1130604
1130607,1130608
1130608,1130609
1130105,1130702
1130702,1130703
1130101,1130102
1130102,1130103
1130103,1130804
1130804,1130307
1130805,1130105
1130105,1130807
1130807,1130808
1130808,1130106
1130106,1130107
1130307,1130805
1130909,1130910
1130910,1130911
1130101,1131102
1131102,1130208
1130208,1131104
1131104,1131105
1131105,1131106
1131106,1130325
1130325,1131108
1131108,1131109
1131109,1130620
1130620,1131111
1131111,1131112
1130101,1130223
1130223,1131203
1131203,1131102
1131102,1130208
1130208,1131214
1131214,1131215
1131215,1131216
1131216,1131217
1131217,1131218
1131218,1131104
1131104,1131105
1131105,1131221
1131106,1130503
1130325,1131108
1131108,1131109
1131109,1130620
1130620,1131111
1131111,1131112
1131105,1131104
1131104,1131218
1131218,1131217
1131217,1131216
1131216,1131215
1131215,1131214
1131214,1131308
1130208,1130207
1131102,1131315
1131315,1131316
1131316,1131317
1131317,1131203
1131203,1130222
1130222,1131320
1131320,1131321
1131321,1131322
1131322,1131323
1131327,1131328
1130524,1131331
1131322,1131325
1131325,1131327
1131327,1131331
1131331,1131333
1131333,1131337
1131337,1131339
1131412,1131413
1131430,1131431
1131708,1131709
1130220,1131902
1131902,1131903
1131903,1131904
1131904,1131905
1131905,1131906
1130220,1130218
1132004,1132005
1132005,1132006
1132011,1130519
1130201,1130204
1130204,1130205
1130205,1130208
1130208,1130212
1131906,1132120
1132121,1132122
1132122,1132123
1130220,1131902
1131902,1131903
1131903,1131904
1131904,1131905
1131905,1131906
1131339,1132402
1132402,1132403
1132407,1132408
1131339,1132402
1132402,1132403
1130101,1132602
1132617,1132403
1132703,1132704
1132704,1132705
1132710,1132711
1131430,1131431
1130107,1130106
1130106,1130105
1130105,1130307
1130208,1130205
1130205,1130103
1130103,1130101
1130101,1131339
1131339,1131413
1131413,1131415
1132703,1132704
1132704,1132705
1130620,1130325
1130325,1131106
1131106,1131105
1131105,1131104
1131104,1130208
1130307,1130103
1131415,1132703
1132710,1132711
1131906,1131905
1131904,1130511
1130216,1130217
1130217,1130218
1130218,1130219
1130219,1130220
1130220,1130221
1130221,1130222
1130222,1130223
1130223,1130101
1130101,1130225
1130225,1130102
1130102,1130227
1130227,1130228
1130228,1130230
1130103,1133228
1133230,1130104
1130104,1130401
1130601,1130105
1130230,1130103
1131906,1131904
1131903,1130212
1130212,1130208
1130208,1130205
1130205,1130204
1130204,1130201
1130201,1130804
1130804,1130307
1130805,1130105
1130105,1130807
1130807,1130808
1130808,1130106
1130106,1130107
1130307,1130805
1131904,1131903
1130101,1130220
2100203,2100204
2200125,1131708
1131708,2200127
2200127,2200128
2200128,2200129
2200129,2200130
2200131,2200117
2200125,1131708
1131708,2200127
2200127,2200128
2200128,2200129
2200129,2200130
2200106,2200402
2200721,2200131
2200719,2200802
2200802,2200803
2200803,2200721
2300101,1130218
2300109,2300110
1132704,1132705
2300109,2300110
2300101,1130218
1130218,2300109
2300109,2300110
2300110,1130521
1130521,2100430
2100430,2300607
2300607,2300608
1132704,1132705
1130208,2400104
2400106,2400107
2400129,2400502
1130611,2500128
1130910,1130909
2600107,2600108
2600108,2600109
2600109,2600110
2600110,1130307
1130307,2600112
2600112,2600113
2600108,2600109
2600109,2600110
2600110,1130307
1130307,2600112
2600112,2600113
2600307,2600308
2600308,2600309
2600309,2600310
2600307,2600308
2600308,2600309
2600309,2600310
2700101,1130103
2700115,1130326
2700132,2700133
2700205,2700207
1130223,2800108
2800108,2800109
2800111,1130102
2800114,2800115
2800115,2800116
2800118,1130205
2800204,2800205
2800205,1131203
2800208,1130101
1130101,2800111
2800111,2800211
2800211,2800212
2800212,2800115
2800115,1131102
2800217,1130208
1132005,1132004
1130911,1130220
2800309,2800310
2800310,1132602
2800313,2800111
2800111,2800315
2800315,2800211
1130204,2600103
1130210,2800404
1131316,2800407
2800208,2800109
2800109,2800310
2800310,2800412
1132006,1132005
1132005,2300104
2300104,1130217
2800315,2800211
2800211,2800212
2800212,2800515
2800118,2800518
2100111,2800602
2800602,2800603
2800603,2800604
2800604,2800605
2800605,2200301
2200301,2800607
2800607,2800608
2800608,1130212
1131316,1131315
2800621,2800622
1130205,2800118
2800118,2800116
2800116,2800616
2800407,2800807
2800807,2800208
2800208,2800108
2800811,2800814
1131322,2100203
2800814,1131322
2800204,1131316
1131316,1131315
1131315,1131102
