station_name,raw_station_cd,converted_station_cd
東京,1130101,1130101
東京,1130224,1130101
東京,1130801,1130101
東京,1131101,1130101
東京,1131201,1130101
東京,1131401,1130101
東京,1132601,1130101
東京,1132809,1130101
東京,1133222,1130101
東京,1134301,1130101
東京,2800209,1130101
新宿,1130208,1130208
新宿,1131103,1130208
新宿,1131211,1130208
新宿,1131310,1130208
新宿,1132104,1130208
新宿,1132806,1130208
新宿,1133304,1130208
新宿,2400101,1130208
新宿,2500101,1130208
新宿,2800218,1130208
新宿,2900303,1130208
新宿,9930128,1130208
新宿,9930401,1130208
大宮,1131906,1131906
大宮,1132119,1131906
大宮,1132201,1131906
大宮,1132306,1131906
大宮,1132804,1131906
大宮,1133201,1131906
大宮,1133301,1131906
大宮,2100401,1131906
大宮,9932101,1131906
上野,1130220,1130220
上野,1131901,1130220
上野,1132001,1130220
上野,1132301,1130220
上野,1133218,1130220
上野,1134302,1130220
上野,2800104,1130220
上野,2800305,1130220
横浜,1130105,1130105
横浜,1130701,1130105
横浜,1130806,1130105
横浜,1132803,1130105
横浜,1133235,1130105
横浜,1133310,1130105
横浜,2600121,1130105
横浜,2700126,1130105
横浜,2900101,1130105
横浜,9931001,1130105
横浜,9931613,1130105
品川,1130103,1130103
品川,1130229,1130103
品川,1130803,1130103
品川,1132808,1130103
品川,1133227,1130103
品川,2700102,1130103
渋谷,1130205,1130205
渋谷,1132103,1130205
渋谷,1132807,1130205
渋谷,1133305,1130205
渋谷,2400601,1130205
渋谷,2600101,1130205
渋谷,2600301,1130205
渋谷,2800119,1130205
渋谷,2800801,1130205
渋谷,2801016,1130205
渋谷,2900304,1130205
池袋,1130212,1130212
池袋,1132105,1130212
池袋,1132805,1130212
池袋,1133303,1130212
池袋,2100101,1130212
池袋,2200101,1130212
池袋,2800201,1130212
池袋,2800609,1130212
池袋,2801009,1130212
千葉,1131339,1131339
千葉,1131410,1131339
千葉,1132401,1131339
千葉,1132501,1131339
千葉,1132810,1131339
千葉,9933103,1131339
千葉,9933201,1131339
大船,1130107,1130107
大船,1130712,1130107
大船,1130810,1130107
大船,1132801,1130107
大船,1133314,1130107
大船,9932601,1130107
国分寺,1131106,1131106
国分寺,1131224,1131106
国分寺,1132818,1131106
国分寺,2201001,1131106
国分寺,2201101,1131106
戸塚,1130106,1130106
