departure,destination,time,count,fare
青井駅,綾瀬駅,15,1,356
青井駅,北千住駅,2,0,210
青井駅,西日暮里駅,17,1,388
青井駅,日暮里駅,20,1,377
青井駅,小岩駅,42,2,640
青井駅,大森駅,52,1,565
青井駅,蒲田駅,56,1,653
青井駅,京成高砂駅,31,2,556
青井駅,新小岩駅,39,2,629
青井駅,赤羽駅,34,2,566
青井駅,赤羽岩淵駅,46,3,743
青井駅,王子駅,29,2,555
青井駅,亀戸駅,34,2,419
青井駅,新木場駅,44,2,610
青井駅,東陽町駅,37,2,579
青井駅,豊洲駅,39,2,579
青井駅,森下駅,23,1,471
青井駅,門前仲町駅,28,1,513
青井駅,大井町駅,49,1,565
青井駅,大崎駅,47,1,543
青井駅,五反田駅,49,1,543
青井駅,目黒駅,52,1,543
青井駅,恵比寿駅,54,1,543
青井駅,渋谷駅,50,2,462
青井駅,原宿駅,49,2,513
青井駅,代々木駅,44,1,513
青井駅,代々木上原駅,50,1,462
青井駅,新宿駅,40,2,513
青井駅,新宿三丁目駅,43,1,555
青井駅,西武新宿駅,48,1,513
青井駅,高田馬場駅,40,2,566
青井駅,四ツ谷駅,35,2,502
青井駅,荻窪駅,52,2,653
青井駅,押上駅,20,1,388
青井駅,錦糸町駅,24,1,462
青井駅,三軒茶屋駅,57,2,642
青井駅,下北沢駅,54,2,598
青井駅,二子玉川駅,68,2,689
青井駅,明大前駅,56,2,715
青井駅,浅草駅,22,2,419
青井駅,浅草橋駅,30,1,481
青井駅,上野駅,21,1,388
青井駅,御徒町駅,29,1,481
青井駅,蔵前駅,19,1,471
青井駅,茅場町駅,32,1,419
青井駅,銀座駅,38,2,419
青井駅,月島駅,30,1,513
青井駅,日本橋駅,36,2,419
青井駅,人形町駅,30,1,419
青井駅,馬喰横山駅,32,1,513
青井駅,八丁堀駅,34,1,419
青井駅,東銀座駅,39,1,419
青井駅,三越前駅,34,2,419
青井駅,秋葉原駅,14,0,335
青井駅,飯田橋駅,28,1,471
青井駅,市ヶ谷駅,36,1,502
青井駅,大手町駅,29,1,419
青井駅,御茶ノ水駅,29,1,481
青井駅,霞ヶ関駅,35,1,462
青井駅,神田駅,28,1,481
青井駅,九段下駅,36,1,513
青井駅,国会議事堂前駅,37,1,462
青井駅,神保町駅,34,1,513
青井駅,水道橋駅,31,1,481
青井駅,溜池山王駅,44,1,462
青井駅,東京駅,31,1,481
青井駅,日比谷駅,33,1,419
青井駅,有楽町駅,32,1,481
青井駅,池袋駅,36,2,555
青井駅,大塚駅,32,2,555
青井駅,駒込駅,28,2,534
青井駅,巣鴨駅,30,2,555
青井駅,中野駅,46,2,565
青井駅,中野坂上駅,48,2,565
青井駅,東中野駅,50,1,565
青井駅,小竹向原駅,52,3,618
青井駅,練馬駅,58,3,743
青井駅,春日駅,26,1,471
青井駅,青山一丁目駅,46,2,462
青井駅,表参道駅,44,1,462
青井駅,品川駅,44,1,513
青井駅,新橋駅,35,1,502
青井駅,泉岳寺駅,50,2,569
青井駅,大門駅,40,1,513
青井駅,田町駅,40,1,513
青井駅,三田駅,45,2,527
青井駅,六本木駅,47,1,565
青井駅,自由が丘駅,67,2,642
青井駅,中目黒駅,57,2,462
