station_name,lat,lon,station_cd,yomi,pref_cd
東京,35.681391,139.766103,1130101,とうきょう,13
新宿,35.689729,139.700464,1130208,しんじゅく,13
大宮,35.906439,139.62405,1131906,,11
上野,35.71379,139.777043,1130220,うえの,13
横浜,35.466195,139.622704,1130105,,14
品川,35.62876,139.738999,1130103,しながわ,13
渋谷,35.658871,139.701238,1130205,しぶや,13
池袋,35.730256,139.711086,1130212,いけぶくろ,13
千葉,35.613425,140.112837,1131339,,12
大船,35.353466,139.531127,1130107,,14
国分寺,35.700123,139.480841,1131106,こくぶんじ,13
戸塚,35.400432,139.534282,1130106,,14
吉祥寺,35.703119,139.579765,1131104,きちじょうじ,13
恵比寿,35.646685,139.71007,1130204,えびす,13
新橋,35.666195,139.758587,1130102,しんばし,13
神田,35.691173,139.770641,1130223,かんだ,13
空港第２ビル（第２旅客ターミナル）,35.773693,140.387163,1132704,,12
四ツ谷,35.686041,139.730644,1131102,よつや,13
秋葉原,35.698619,139.773288,1130222,あきはばら,13
武蔵小杉,35.57669,139.65963,1130307,,14
西日暮里,35.731954,139.766857,1130217,にしにっぽり,13
西船橋,35.707283,139.959536,1130524,,12
目黒,35.633272,139.7155,1130203,めぐろ,13
高尾,35.642026,139.282288,1131112,たかお,13
練馬,35.737893,139.654368,2200106,ねりま,13
日吉,35.5539,139.646944,2600113,,26
荻窪,35.704523,139.620109,1131217,おぎくぼ,13
新横浜,35.509056,139.617472,1130604,,14
船橋,35.701865,139.984707,1131331,,12
千葉みなと,35.607391,140.102495,1132617,,12
蒲田,35.561767,139.714626,1133230,かまた,13
有楽町,35.675441,139.763806,1130225,ゆうらくちょう,13
新木場,35.646172,139.827402,1132605,しんきば,13
大井町,35.607535,139.735025,1133228,おおいまち,13
大和,35.469924,139.461383,2500206,,8
浜松町,35.655391,139.757135,1130227,はままつちょう,13
海老名,35.453381,139.392074,1130910,,14
御茶ノ水,35.699605,139.764955,1131203,おちゃのみず,13
平和台,35.757863,139.653762,2800604,へいわだい,13
小川町,36.05903,139.260412,1131805,おがわまち,11
小田原,35.256229,139.155396,1130116,,14
神保町,35.695966,139.757606,2800807,じんぼうちょう,13
代々木,35.683061,139.702042,1130207,よよぎ,13
長津田,35.53196,139.493548,1130609,,14
北千住,35.748916,139.804276,1132005,きたせんじゅ,13
橋本,35.594975,139.344586,1130616,,14
